"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7113","Create account using uppercase - registered email","chromium","Fri Jul 04 11:32:51 WIB 2025","failed","Fri Jul 04 11:32:58 WIB 2025","Registration Flow Validation","registration-flow.spec.ts","",""
"","8237","Login using registered email Email1@yopmail.com","chromium","Fri Jul 04 11:32:37 WIB 2025","failed","Fri Jul 04 11:32:46 WIB 2025","Login Flow Validation","login-flow.spec.ts","",""
"","6593","Count the total price of added products in cart","chromium","Fri Jul 04 11:32:37 WIB 2025","passed","Fri Jul 04 11:32:44 WIB 2025","Order Flow Validation","order-flow.spec.ts","",""
"","8113","Create order with different email from the respective account","chromium","Fri Jul 04 11:32:37 WIB 2025","failed","Fri Jul 04 11:32:45 WIB 2025","Order Flow Validation","order-flow.spec.ts","",""
"","5972","Create order without shipping location provided","chromium","Fri Jul 04 11:32:47 WIB 2025","passed","Fri Jul 04 11:32:53 WIB 2025","Order Flow Validation","order-flow.spec.ts","",""
"","3231","View order created by different account from the respective account should return 403","chromium","Fri Jul 04 11:32:42 WIB 2025","passed","Fri Jul 04 11:32:45 WIB 2025","Order Flow Validation","order-flow.spec.ts","",""
"","3633","Login using registered email email1@yopmail.com","chromium","Fri Jul 04 11:32:37 WIB 2025","passed","Fri Jul 04 11:32:41 WIB 2025","Login Flow Validation","login-flow.spec.ts","",""
"","2569","Create account using lowercase - unregistered email","chromium","Fri Jul 04 11:32:46 WIB 2025","passed","Fri Jul 04 11:32:48 WIB 2025","Registration Flow Validation","registration-flow.spec.ts","",""
"","2219","Create account using lowercase - registered email","chromium","Fri Jul 04 11:32:48 WIB 2025","passed","Fri Jul 04 11:32:51 WIB 2025","Registration Flow Validation","registration-flow.spec.ts","",""
"","6645","Create order with same email as the respective account","chromium","Fri Jul 04 11:32:45 WIB 2025","passed","Fri Jul 04 11:32:52 WIB 2025","Order Flow Validation","order-flow.spec.ts","",""
